,date,article,url,comment,share,hashtags
0,2021-08-01 21:14:00,ไล่ยิงประชาชนจนตอนนี้ยังไม่หยุด! กระสุนทุกลูก แก็สน้ำตาทุกกระป๋อง สารเคมีที่สาดมาทุกหยด มึงจะต้องชดใช้ เจอกูแน่ ไอ้ฆาตกร,https://www.facebook.com/FreeYOUTHth/posts/560850648697330,3.1 พัน,1.4 หมื่น,['#ม็อบ7สิงหา']
1,2021-08-01 22:11:00,"พวกมึงจะเอาให้ตายเลยใช่มั้ย? 


ขอบคุณภาพจาก Voice TV",https://www.facebook.com/FreeYOUTHth/posts/560892058693189,3 พัน,2.1 หมื่น,['#ไอ้ฆาตกร']
2,2021-08-01 20:00:00,"ยิงได้ยิงดี 7 สิงหานี้ เอากระสุนมึงกลับไป!
พร้อมลุยกว่าเดิม!


กี่ล้านครอบครัวที่ต้องพังพินาศเพราะดีลวัคซีนเจ้า ดีลที่พยายามสร้างกำไรให้กับบริษัทพ่อหลวง ที่ขาดทุนต่อเนื่องมาตลอดตั้งแต่ก่อตั้งโรงงาน อยากได้กำไรมากถึงขั้นต้องล็อคสเปค ทั้งประเทศต้องมารอวัคซีนจากโรงงานเดียว


พอเริ่มพังพินาศ แทนที่ลิ่วล้อจะคิดได้ว่าต้องสั่งวัคซีนดีๆ เข้ามารักษาชีวิตประชาชน แต่ยังหน้าด้าน เอาภาษีประชาชนไปโอบอุ้มวัคซีนเจ้าสัวซิโนแวค ที่แพงและห่วยแตกที่สุด


เห็นภาพผู้คนที่ต้องมาแออัดต่อคิว เพื่อให้ได้ฉีดวัคซีนบ้างไหม? เห็นภาพกองศพที่ตายอยู่ข้างถนนบ้างไหม? หรือกำแพงวังมันสูงเกินกว่าจะมองเห็นภาพความสิ้นหวังเหล่านี้?


ถ้าประยุทธ์ยังไม่ออก ก็ให้มันรู้ไป เพราะการดำรงอยู่ของรัฐบาลชุดนี้ทำให้คนตาสว่างมากขึ้นทุกวัน ว่าการดำรงอยู่ของครอบครัวมึงมันไร้ประโยชน์และสร้างความฉิบหายให้กับประเทศชาติมากแค่ไหน ไล่จนเหนื่อยแล้วไม่ไป ก็อยู่รอวันพังพินาศไปด้วยกัน!


ประชาชนจะชนะอย่างแน่นอน


โปรดติดตาม",https://www.facebook.com/FreeYOUTHth/posts/560793492036379,789,6.3 พัน,"['#แค้นมีไว้ชำระ', '#ม็อบ7สิงหา', '#เอาห่ากระสุนมึงกลับไป']"
3,2021-07-30 19:32:00,"ขณะที่ประเทศกำลังฉิบหาย ผู้คนกำลังล้มตาย โจรกำลังครองเมือง จะเป็นกลางได้อย่างไร?


 เลือกข้างความยุติธรรม เลือกข้างประชาชน โปรดติดตาม…
___",https://www.facebook.com/FreeYOUTHth/posts/559559085493153,386,766,"['#ม็อบ7สิงหา', '#เยาวชนปลดแอก']"
4,2021-07-29 23:07:00,"พ.ต.อ.กฤษณะ พัฒนเจริญ รองโฆษกสำนักงานตำรวจแห่งชาติ เตือนประชาชนหยุดปั่น Fake news เผยแพร่ภาพคนตายบนถนน ทำให้สังคมเกิดความตื่นตระหนก หากฝ่าฝืนอาจถูกจำคุกสูงสุดถึง 5 ปี ปรับไม่เกิน 100,000 บาท หรือทั้งจำทั้งปรับ ซึ่งเป็นโทษตามพ.ร.บ.คอมพิวเตอร์


รัฐบาลและลิ่วล้อไร้ความเป็นคน ขณะที่ประเทศใกล้ล่มสลายขึ้นทุกวัน ยอดคนตายพุ่งเกินสี่พัน ติดเชื้อรายวันใกล้แตะสองหมื่น ทำไมไม่เอาเวลาไปหาซื้อวัคซีนคุณภาพมาฉีดให้ประชาชน จะได้ไม่ต้องเผาศพจนเมรุระเบิดขนาดนี้ ใครกันที่บอกว่าโควิดกระจอก ใครกันที่บอกไทยจะเป็นชาติแรกของโลกที่ได้วัคซีน ใครกันที่บอกว่าจะเปิดประเทศ


คนปล่อย Fake news คือมึงค่ะ ออกไป!
__",https://www.facebook.com/FreeYOUTHth/posts/559003068882088,3.5 พัน,4 พัน,['#เยาวชนปลดแอก']
5,2021-07-28 20:00:00,"ต้องสังเวยด้วยชีวิตของประชาชนอีกเท่าไร จึงจะสำเหนียกได้ว่าเวลาของประยุทธ์ในพระบรมราชูปถัมภ์ได้หมดลงแล้ว


ประเทศชาติ ณ เวลานี้ต้องการนายกฯ ที่ยึดประโยชน์ของประชาชนเป็นที่ตั้ง


7 สิงหาคมนี้ ทุบประตูบ้านเจ้าของหมาให้พาหมามึงกลับบ้าน!
__",https://www.facebook.com/FreeYOUTHth/posts/558228995626162,1.5 พัน,4.2 พัน,"['#ม็อบ7สิงหา', '#เยาวชนปลดแอก']"
6,2021-07-26 22:34:00,"ไม่มีแล้วเมืองไทยที่มีสุข
มีแต่ทุกข์ระทมใจไกลความหวัง
จะต่อสู้ดิ้นรนก็เกินกำลัง
เพราะคนนั่งบริหารชาติอัปรีย์
เกิดโควิดโรคร้ายทำลายชาติ
อเนจอนาถมีนายกก็บัดสี
เห็นพวกพ้องเงินทองใต้โต๊ะดี
กว่าชีวีประชาชนเราคนไทย
ลมหายใจพี่น้องที่แดดิ้น
จะหมดสิ้นกี่คนก็ไร้ความหมาย
เท่าไรแล้วที่มันปล่อยพวกเราตาย
หน้าไม่อายชาติชั่วตัวระยำ
รัฐมนตรีสาธารณสุขตัวปลุกปั่น
เมื่อก่อนลั่นจะดูแลให้สุขี
ตัวเฮียอย่างมึงอ่ะตัวดี
ไม่เคยมีสำนึกความเป็นคน
ค้าความตายลมหายใจเพื่อนมนุษย์
กรรมเวรหยุดรอมึงทุกแห่งหน
ครอบครัวมึงลองใกล้ตายดูสักคน
มึงจะทนดูดายได้กี่วัน
— ประพันธ์โดย ""พิราบขาว""
___",https://www.facebook.com/FreeYOUTHth/posts/557016985747363,2.4 พัน,1.3 หมื่น,"['#เยาวชนปลดแอก', '#28กรกฎาร่วมใจใส่ชุดดำ']"
7,2021-07-22 21:18:00,"ว่อน! เอกสารคล้ายเอกสารราชการจากกรมสารบรรณทหารขอวัคซีน 'โมเดอร์นา' จากสภากาชาดไทย ขณะประชาชนสงสัย ทหารสั่งซิโนแวคมา ทำไมไม่เก็บไว้ฉีดเอง?
___",https://www.facebook.com/FreeYOUTHth/posts/554427629339632,3 พัน,1.4 หมื่น,['#เยาวชนปลดแอก']
8,2021-07-22 15:17:00,"หัวใจของประชาธิปไตยคือความเท่าเทียม


ความเท่าเทียมทางการเมืองและความเท่าเทียมทางเศรษฐกิจเป็นสิ่งที่แยกกันไม่ขาด หากปราศจากสิ่งใดสิ่งหนึ่ง ประชาธิปไตยเช่นนั้นก็คงจะพิกลพิการ


มนุษย์ทุกคนควรมีสิทธิมีเสียงในการเมืองไปพร้อมๆ กับมีสวัสดิการที่เท่าเทียมและถ้วนหน้า เราจะมีประชาธิปไตยที่แท้จริงได้อย่างไร หากพวกเรา ชนชั้น 99% ยังไม่ได้ค่าแรงและสวัสดิการที่เป็นธรรม


ในฐานะองค์กรที่ขับเคลื่อนเพื่อความเท่าเทียม เยาวชนปลดแอกขอสนับสนุนข้อเรียกร้องที่สหภาพไรเดอร์ยื่นต่อฟูดแพนด้า ทั้งนี้ สหภาพไรเดอร์เป็นกลุ่มแรกๆ ที่เข้าร่วม #ม็อบ18กรกฎา ทวงคืนประเทศไทย ขับไล่ปรสิต


จากกรณีที่ทางฟูดแพนด้ากล่าวว่าจะไล่ไรเดอร์ออก เนื่องจากร่วมชุมนุมใน 
 จนเกิดกระแส 
 สหภาพไรเดอร์จึงรวมตัวกันแถลงการณ์กดดันให้ทางบริษัทเคารพสิทธิเสรีภาพ และเสนอข้อเรียกร้องเพื่อความเป็นธรรมแก่ร้านค้าและไรเดอร์ ดังนี้


 1.ขอให้บริษัทฯจ่ายค่าตอบแทนให้กับไรเดอร์ไม่ต่ำกว่า ออเดอร์ละ 25 บาท ทั่วประเทศ


 2.ขอให้บริษัทฯยกเลิกการเก็บเงินค่าอุปกรณ์การทำงาน ได้แก่ ชุดทำงานและกล่องใส่อาหาร โดยไรเดอร์สามารถนำชุดทำงานเก่าและกล่องใส่อาหารที่ชำรุด มาแลกของใหม่จากบริษัทฯได้ ปีละ 1ชุด


 3.ขอให้บริษัทฯลดราคา ค่า GP จากเดิม 30% ให้เหลือ 15% และงดเก็บค่าGP กับร้านค้า เป็นเวลา 1 เดือน ตั้งแต่วันที่ 1 - 31 สิงหาคม 2564


อ่านแถลงการณ์เต็มได้ที่ https://www.facebook.com/101242181988751/posts/180657834047185/?d=n
__",https://www.facebook.com/FreeYOUTHth/posts/554240256025036,76,264,"['#ม็อบ18กรกฎา', '#แบนfoodpanda', '#สหภาพไรเดอร์', '#เยาวชนปลดแอก']"
9,2021-07-21 22:44:00,"ทีมเหล่าทัพราษฎรประกาศสนับสนุนข้อเรียกร้องทั้ง 3 ข้อจาก 


1.ประยุทธ์ต้องลาออกโดยไม่มีเงื่อนไข
2.ปรับลดงบสถาบัน-กองทัพสู้โควิด
3.เปลี่ยนวัคซีนเจ้าสัว CP เป็น mRNA


ประชาชนจะไม่รับคำขอโทษจากรัฐบาล เราจะรับแค่ข้อเรียกร้องครบทั้ง 3 ข้อเท่านั้น!


แถลงการณ์เหล่าทัพราษฎร


นี่คือสภาวะที่ประเทศของเรากำลังเข้าสู่สงคราม 


สนามรบของเราไม่ใช่ชายแดน แต่คือทุกหย่อมหญ้า กำลังพลด่านหน้าของเราไม่ใช่กองทัพ แต่คือบุคลา… See More
See More",https://www.facebook.com/FreeYOUTHth/posts/553833682732360,66,348,['#ม็อบ18กรกฎา']
